2026-04-16 19:04:37,018 | INFO | Loaded 375 spot records, 238589 option records from InfluxDB
2026-04-16 19:04:37,024 | INFO | ============================================================
2026-04-16 19:04:37,025 | INFO | OSTRAD BACKTEST: SENSEX
2026-04-16 19:04:37,025 | INFO | Period: 2026-04-16 to 2026-04-16
2026-04-16 19:04:37,026 | INFO | ============================================================
2026-04-16 19:04:37,165 | INFO | SENSEX: 375 spot candles, 238589 option records
2026-04-16 19:06:55,956 | INFO | 2026-04-16: Trades=2, Total=3, P&L=₹76,940.00
2026-04-16 19:06:55,969 | INFO | Daily stats saved to results/sensex_influx\SENSEX_daily_stats.csv
2026-04-16 19:06:55,974 | INFO | Trades saved to results/sensex_influx\SENSEX_trades.csv
2026-04-16 19:07:49,699 | INFO | Loaded 375 spot records, 197797 option records from InfluxDB
2026-04-16 19:07:49,703 | INFO | ============================================================
2026-04-16 19:07:49,703 | INFO | OSTRAD BACKTEST: SENSEX
2026-04-16 19:07:49,703 | INFO | Period: 2026-04-15 to 2026-04-15
2026-04-16 19:07:49,704 | INFO | ============================================================
2026-04-16 19:07:49,814 | INFO | SENSEX: 375 spot candles, 197797 option records
2026-04-16 19:10:47,344 | INFO | 2026-04-15: Trades=1, Total=2, P&L=₹37,780.00
2026-04-16 19:10:47,352 | INFO | Daily stats saved to results/sensex_influx\SENSEX_daily_stats.csv
2026-04-16 19:10:47,355 | INFO | Trades saved to results/sensex_influx\SENSEX_trades.csv
2026-04-17 16:24:24,297 | INFO | Loaded 375 spot records, 197797 option records from InfluxDB
2026-04-17 16:24:24,302 | INFO | ============================================================
2026-04-17 16:24:24,302 | INFO | OSTRAD BACKTEST: SENSEX
2026-04-17 16:24:24,303 | INFO | Period: 2026-04-15 to 2026-04-15
2026-04-17 16:24:24,304 | INFO | ============================================================
2026-04-17 16:24:24,412 | INFO | SENSEX: 375 spot candles, 197797 option records
2026-04-17 16:27:27,489 | INFO | 2026-04-15: Trades=1, Total=2, P&L=₹37,780.00
2026-04-17 16:27:27,496 | INFO | Daily stats saved to results/sensex_influx\SENSEX_daily_stats.csv
2026-04-17 16:27:27,500 | INFO | Trades saved to results/sensex_influx\SENSEX_trades.csv
2026-04-22 14:32:24,049 | INFO | Loaded 375 spot records, 197797 option records from InfluxDB
2026-04-22 14:32:24,059 | INFO | ============================================================
2026-04-22 14:32:24,059 | INFO | OSTRAD BACKTEST: SENSEX
2026-04-22 14:32:24,060 | INFO | Period: 2026-04-15 to 2026-04-15
2026-04-22 14:32:24,060 | INFO | ============================================================
2026-04-22 14:32:24,193 | INFO | SENSEX: 375 spot candles, 197797 option records
2026-04-22 14:37:11,110 | INFO | 2026-04-15: Trades=1, Total=2, P&L=₹37,780.00
2026-04-22 14:37:11,132 | INFO | Daily stats saved to results/sensex_influx\SENSEX_daily_stats.csv
2026-04-22 14:37:11,141 | INFO | Trades saved to results/sensex_influx\SENSEX_trades.csv
