date,index,date_time,trading_symbol,type,option_type,strike,open,high,low,close,volume,open_interest,expiry_date
2026-04-15,SENSEX,2026-04-15 09:15:00+05:30,SENSEX,SPOT,,,77981.1,78270.42,77913.11,78178.23,0,,
2026-04-15,SENSEX,2026-04-15 09:16:00+05:30,SENSEX,SPOT,,,78178.2,78183.68,78109.69,78150.54,0,,
2026-04-15,SENSEX,2026-04-15 09:17:00+05:30,SENSEX,SPOT,,,78144.57,78169.28,78097.36,78129.35,0,,
2026-04-15,SENSEX,2026-04-15 09:18:00+05:30,SENSEX,SPOT,,,78137.08,78171.38,78108.25,78145.9,0,,
2026-04-15,SENSEX,2026-04-15 09:19:00+05:30,SENSEX,SPOT,,,78137.84,78141.19,78104.29,78127.01,0,,
2026-04-15,SENSEX,2026-04-15 09:20:00+05:30,SENSEX,SPOT,,,78122.41,78143.1,78114.49,78121.41,0,,
2026-04-15,SENSEX,2026-04-15 09:21:00+05:30,SENSEX,SPOT,,,78124.89,78134.37,78070.2,78086.67,0,,
2026-04-15,SENSEX,2026-04-15 09:22:00+05:30,SENSEX,SPOT,,,78090.92,78111.53,78072.04,78089.8,0,,
2026-04-15,SENSEX,2026-04-15 09:23:00+05:30,SENSEX,SPOT,,,78091.97,78116.99,78083.86,78108.61,0,,
2026-04-15,SENSEX,2026-04-15 09:24:00+05:30,SENSEX,SPOT,,,78109.89,78112.33,78046.87,78054.45,0,,
2026-04-15,SENSEX,2026-04-15 09:25:00+05:30,SENSEX,SPOT,,,78055.74,78059.19,78029.56,78055.11,0,,
2026-04-15,SENSEX,2026-04-15 09:26:00+05:30,SENSEX,SPOT,,,78050.0,78063.8,78037.7,78058.67,0,,
2026-04-15,SENSEX,2026-04-15 09:27:00+05:30,SENSEX,SPOT,,,78052.54,78064.61,77990.25,77990.25,0,,
2026-04-15,SENSEX,2026-04-15 09:28:00+05:30,SENSEX,SPOT,,,77988.56,78005.31,77973.64,77993.24,0,,
2026-04-15,SENSEX,2026-04-15 09:29:00+05:30,SENSEX,SPOT,,,77994.36,78019.09,77983.46,78013.25,0,,
2026-04-15,SENSEX,2026-04-15 09:30:00+05:30,SENSEX,SPOT,,,78016.49,78016.49,77951.99,77958.88,0,,
2026-04-15,SENSEX,2026-04-15 09:31:00+05:30,SENSEX,SPOT,,,77960.92,77972.94,77939.86,77951.45,0,,
2026-04-15,SENSEX,2026-04-15 09:32:00+05:30,SENSEX,SPOT,,,77956.54,77989.39,77937.34,77981.49,0,,
2026-04-15,SENSEX,2026-04-15 09:33:00+05:30,SENSEX,SPOT,,,77987.55,77998.1,77948.57,77956.33,0,,
2026-04-15,SENSEX,2026-04-15 09:34:00+05:30,SENSEX,SPOT,,,77957.64,77965.42,77913.09,77920.5,0,,
2026-04-15,SENSEX,2026-04-15 09:35:00+05:30,SENSEX,SPOT,,,77921.31,77940.65,77897.01,77897.8,0,,
2026-04-15,SENSEX,2026-04-15 09:36:00+05:30,SENSEX,SPOT,,,77903.85,77941.57,77894.69,77913.69,0,,
2026-04-15,SENSEX,2026-04-15 09:37:00+05:30,SENSEX,SPOT,,,77910.94,77938.08,77905.09,77936.4,0,,
2026-04-15,SENSEX,2026-04-15 09:38:00+05:30,SENSEX,SPOT,,,77932.51,77935.23,77858.86,77858.86,0,,
2026-04-15,SENSEX,2026-04-15 09:39:00+05:30,SENSEX,SPOT,,,77857.06,77889.74,77849.52,77871.64,0,,
2026-04-15,SENSEX,2026-04-15 09:40:00+05:30,SENSEX,SPOT,,,77871.7,77932.76,77858.91,77928.11,0,,
2026-04-15,SENSEX,2026-04-15 09:41:00+05:30,SENSEX,SPOT,,,77928.48,77961.24,77927.58,77947.45,0,,
2026-04-15,SENSEX,2026-04-15 09:42:00+05:30,SENSEX,SPOT,,,77943.8,77975.62,77943.8,77974.01,0,,
2026-04-15,SENSEX,2026-04-15 09:43:00+05:30,SENSEX,SPOT,,,77971.09,78036.16,77969.87,78033.41,0,,
2026-04-15,SENSEX,2026-04-15 09:44:00+05:30,SENSEX,SPOT,,,78040.02,78065.49,78037.75,78037.75,0,,
2026-04-15,SENSEX,2026-04-15 09:45:00+05:30,SENSEX,SPOT,,,78034.53,78080.01,78034.53,78079.7,0,,
2026-04-15,SENSEX,2026-04-15 09:46:00+05:30,SENSEX,SPOT,,,78079.85,78098.43,78075.86,78090.23,0,,
2026-04-15,SENSEX,2026-04-15 09:47:00+05:30,SENSEX,SPOT,,,78092.82,78100.87,78074.69,78086.53,0,,
2026-04-15,SENSEX,2026-04-15 09:48:00+05:30,SENSEX,SPOT,,,78085.16,78085.16,78011.28,78019.86,0,,
2026-04-15,SENSEX,2026-04-15 09:49:00+05:30,SENSEX,SPOT,,,78018.03,78029.03,78008.02,78008.68,0,,
2026-04-15,SENSEX,2026-04-15 09:50:00+05:30,SENSEX,SPOT,,,78005.27,78019.6,77988.58,77991.11,0,,
2026-04-15,SENSEX,2026-04-15 09:51:00+05:30,SENSEX,SPOT,,,77991.19,78016.3,77987.52,78010.5,0,,
2026-04-15,SENSEX,2026-04-15 09:52:00+05:30,SENSEX,SPOT,,,78010.38,78047.29,78007.74,78040.07,0,,
2026-04-15,SENSEX,2026-04-15 09:53:00+05:30,SENSEX,SPOT,,,78043.55,78062.2,78042.14,78061.93,0,,
2026-04-15,SENSEX,2026-04-15 09:54:00+05:30,SENSEX,SPOT,,,78060.98,78078.37,78059.48,78064.37,0,,
2026-04-15,SENSEX,2026-04-15 09:55:00+05:30,SENSEX,SPOT,,,78062.98,78092.83,78058.69,78092.83,0,,
2026-04-15,SENSEX,2026-04-15 09:56:00+05:30,SENSEX,SPOT,,,78092.02,78092.02,78071.53,78080.45,0,,
2026-04-15,SENSEX,2026-04-15 09:57:00+05:30,SENSEX,SPOT,,,78079.35,78104.02,78070.43,78084.34,0,,
2026-04-15,SENSEX,2026-04-15 09:58:00+05:30,SENSEX,SPOT,,,78082.07,78091.27,78047.55,78056.28,0,,
2026-04-15,SENSEX,2026-04-15 09:59:00+05:30,SENSEX,SPOT,,,78054.3,78080.25,78052.96,78078.9,0,,
2026-04-15,SENSEX,2026-04-15 10:00:00+05:30,SENSEX,SPOT,,,78078.18,78095.79,78078.18,78092.41,0,,
2026-04-15,SENSEX,2026-04-15 10:01:00+05:30,SENSEX,SPOT,,,78090.43,78116.47,78083.02,78099.27,0,,
2026-04-15,SENSEX,2026-04-15 10:02:00+05:30,SENSEX,SPOT,,,78102.64,78102.64,78066.65,78075.89,0,,
2026-04-15,SENSEX,2026-04-15 10:03:00+05:30,SENSEX,SPOT,,,78073.73,78097.68,78073.73,78095.18,0,,
2026-04-15,SENSEX,2026-04-15 10:04:00+05:30,SENSEX,SPOT,,,78094.55,78126.55,78094.55,78126.55,0,,
2026-04-15,SENSEX,2026-04-15 10:05:00+05:30,SENSEX,SPOT,,,78126.86,78142.11,78125.97,78139.57,0,,
2026-04-15,SENSEX,2026-04-15 10:06:00+05:30,SENSEX,SPOT,,,78135.27,78150.56,78131.12,78150.56,0,,
2026-04-15,SENSEX,2026-04-15 10:07:00+05:30,SENSEX,SPOT,,,78153.93,78170.74,78139.54,78147.61,0,,
2026-04-15,SENSEX,2026-04-15 10:08:00+05:30,SENSEX,SPOT,,,78148.02,78156.28,78127.36,78153.19,0,,
2026-04-15,SENSEX,2026-04-15 10:09:00+05:30,SENSEX,SPOT,,,78147.57,78158.55,78115.85,78132.99,0,,
2026-04-15,SENSEX,2026-04-15 10:10:00+05:30,SENSEX,SPOT,,,78134.21,78206.23,78132.46,78206.23,0,,
2026-04-15,SENSEX,2026-04-15 10:11:00+05:30,SENSEX,SPOT,,,78204.47,78207.04,78140.55,78176.11,0,,
2026-04-15,SENSEX,2026-04-15 10:12:00+05:30,SENSEX,SPOT,,,78178.96,78204.86,78166.06,78174.95,0,,
2026-04-15,SENSEX,2026-04-15 10:13:00+05:30,SENSEX,SPOT,,,78189.02,78191.17,78155.8,78155.8,0,,
2026-04-15,SENSEX,2026-04-15 10:14:00+05:30,SENSEX,SPOT,,,78152.61,78169.2,78150.28,78163.97,0,,
2026-04-15,SENSEX,2026-04-15 10:15:00+05:30,SENSEX,SPOT,,,78164.14,78189.4,78163.8,78188.67,0,,
2026-04-15,SENSEX,2026-04-15 10:16:00+05:30,SENSEX,SPOT,,,78188.61,78198.5,78175.47,78175.99,0,,
2026-04-15,SENSEX,2026-04-15 10:17:00+05:30,SENSEX,SPOT,,,78178.17,78199.63,78167.73,78196.9,0,,
2026-04-15,SENSEX,2026-04-15 10:18:00+05:30,SENSEX,SPOT,,,78197.66,78206.19,78177.23,78205.17,0,,
